u(k), y(k)
64.287880, 44.870000
64.325256, 44.870000
63.854013, 44.930000
63.513242, 44.930000
63.274556, 44.930000
62.518021, 45.000000
61.979814, 45.000000
61.622823, 45.000000
61.419400, 45.000000
60.828906, 45.060000
60.468494, 45.060000
60.291464, 45.060000
60.258012, 45.060000
60.334718, 45.060000
60.489312, 45.060000
60.691344, 45.060000
60.916483, 45.060000
61.141898, 45.060000
61.347153, 45.060000
61.518896, 45.060000
61.651079, 45.060000
61.739220, 45.060000
61.267207, 45.120000
60.882008, 45.120000
60.567528, 45.120000
59.800216, 45.180000
59.218784, 45.180000
58.198409, 45.250000
56.956447, 45.310000
56.092605, 45.310000
55.030951, 45.370000
53.847614, 45.430000
52.517314, 45.500000
51.193969, 45.560000
49.903959, 45.620000
49.174100, 45.620000
48.367086, 45.680000
47.420258, 45.750000
46.969812, 45.750000
46.375631, 45.810000
46.170609, 45.810000
45.726663, 45.870000
45.595062, 45.870000
45.162480, 45.930000
44.391271, 46.000000
43.942702, 46.000000
43.716474, 46.000000
43.635450, 46.000000
43.642329, 46.000000
43.691809, 46.000000
43.751957, 46.000000
43.801790, 46.000000
43.829595, 46.000000
43.829243, 46.000000
43.798905, 46.000000
43.738326, 46.000000
43.643415, 46.000000
44.108948, 45.930000
44.383468, 45.930000
44.498964, 45.930000
44.487336, 45.930000
44.378566, 45.930000
44.199389, 45.930000
43.972543, 45.930000
43.716541, 45.930000
43.445819, 45.930000
43.171111, 45.930000
42.899951, 45.930000
42.637159, 45.930000
42.390404, 45.930000
42.168900, 45.930000
41.978024, 45.930000
41.818517, 45.930000
41.687359, 45.930000
41.579087, 45.930000
41.487036, 45.930000
41.404332, 45.930000
41.837541, 45.870000
42.135750, 45.870000
42.316684, 45.870000
42.909779, 45.810000
43.284916, 45.810000
43.478409, 45.810000
44.036097, 45.750000
44.342115, 45.750000
44.444834, 45.750000
44.985420, 45.680000
45.761006, 45.620000
46.183752, 45.620000
46.842765, 45.560000
47.674748, 45.500000
48.114165, 45.500000
48.253227, 45.500000
48.770181, 45.430000
48.976231, 45.430000
48.950953, 45.430000
48.761420, 45.430000
48.972690, 45.370000
48.982881, 45.370000
48.854202, 45.370000
48.638269, 45.370000
