u(k), y(k)
47.627217, 45.180000, 47.604613
45.180000, 47.558423, 45.180000
48.011724, 45.120000, 48.325329
45.120000, 49.037685, 45.060000
49.529400, 45.060000, 49.848098
45.060000, 50.546453, 45.000000
51.010382, 45.000000, 51.879351
44.930000, 52.434893, 44.930000
53.249356, 44.870000, 53.729690
44.870000, 54.455744, 44.810000
54.843834, 44.810000, 55.484936
44.750000, 55.803693, 44.750000
55.882738, 44.750000, 56.387573
44.680000, 56.621850, 44.680000
57.171224, 44.620000, 57.452882
44.620000, 57.540820, 44.620000
57.496772, 44.620000, 57.882984
44.560000, 58.093031, 44.560000
58.178112, 44.560000, 58.179576
44.560000, 58.642438, 44.500000
58.429176, 44.560000, 58.223936
44.560000, 58.550706, 44.500000
58.773112, 44.500000, 58.919655
44.500000, 59.010727, 44.500000
58.546602, 44.560000, 58.185182
44.560000, 57.916570, 44.560000
57.729525, 44.560000, 57.611339
44.560000, 57.553134, 44.560000
57.544951, 44.560000, 57.572933
44.560000, 57.628294, 44.560000
57.708287, 44.560000, 57.810855
44.560000, 57.933331, 44.560000
58.067914, 44.560000, 57.690471
44.620000, 57.436953, 44.620000
57.279430, 44.620000, 57.195484
44.620000, 57.167897, 44.620000
56.670750, 44.680000, 56.339488
44.680000, 56.144710, 44.680000
56.061147, 44.680000, 55.468768
44.750000, 55.102406, 44.750000
54.921096, 44.750000, 54.371592
44.810000, 54.061104, 44.810000
53.935498, 44.810000, 53.950306
44.810000, 54.069457, 44.810000
53.746821, 44.870000, 53.597869
44.870000, 53.577788, 44.870000
53.651224, 44.870000, 53.273411
44.930000, 53.061365, 44.930000
52.972451, 44.930000, 52.969927
44.930000, 53.022792, 44.930000
52.510385, 45.000000, 52.171325
45.000000, 51.971928, 45.000000
51.881097, 45.000000, 51.870170
45.000000, 51.916809, 45.000000
52.004632, 45.000000, 52.118025
45.000000, 52.241844, 45.000000
52.365242, 45.000000, 52.482222
45.000000, 53.188631, 44.930000
53.725948, 44.930000, 54.112543
44.930000, 54.366846, 44.930000
55.021573, 44.870000, 55.451327
44.870000, 55.697673, 44.870000
55.798436, 44.870000, 56.300454
44.810000, 56.587544, 44.810000
56.706675, 44.810000, 56.697779
44.810000, 56.599747, 44.810000
56.961771, 44.750000, 57.167031
44.750000, 57.257465, 44.750000
57.269625, 44.750000, 57.234767
44.750000, 57.773920, 44.680000
58.148108, 44.680000, 58.395053
44.680000, 58.547937, 44.680000
58.632139, 44.680000, 58.665575
44.680000, 58.660229, 44.680000
58.628301, 44.680000, 58.582286
44.680000, 58.531406, 44.680000
58.480902, 44.680000, 58.432976
44.680000, 58.906278, 44.620000
