u(k), y(k), y_simulation(k)
u(k), y(k), y_simulation(k)
43.256727, 45.310000, 43.979335
42.981618, 45.310000, 43.980240
42.897715, 45.310000, 43.980989
42.960302, 45.310000, 43.981614
43.640445, 45.250000, 43.981641
44.254353, 45.250000, 43.980633
44.789110, 45.250000, 43.978120
45.234591, 45.250000, 43.973843
45.587496, 45.250000, 43.968060
45.846005, 45.250000, 43.960582
46.009881, 45.250000, 43.951271
46.080083, 45.250000, 43.939990
46.059924, 45.250000, 43.926775
45.958398, 45.250000, 43.912126
45.789443, 45.250000, 43.896644
46.168465, 45.180000, 43.880882
46.364836, 45.180000, 43.865809
46.428941, 45.180000, 43.852238
46.404322, 45.180000, 43.840380
46.325841, 45.180000, 43.830167
46.219746, 45.180000, 43.821400
46.617476, 45.120000, 43.813821
46.885456, 45.120000, 43.807147
47.052166, 45.120000, 43.801085
47.139346, 45.120000, 43.795345
47.163187, 45.120000, 43.789650
47.135465, 45.120000, 43.783754
47.582699, 45.060000, 43.778049
47.361151, 45.120000, 43.772933
47.149156, 45.120000, 43.768306
46.950808, 45.120000, 43.763930
46.766934, 45.120000, 43.759583
46.596348, 45.120000, 43.755099
46.441311, 45.120000, 43.750894
46.306810, 45.120000, 43.747394
46.196007, 45.120000, 43.744579
46.109339, 45.120000, 43.742282
46.044916, 45.120000, 43.740302
45.999228, 45.120000, 43.738454
45.972249, 45.120000, 43.737092
45.962214, 45.120000, 43.736058
45.962593, 45.120000, 43.734783
45.966333, 45.120000, 43.733047
45.967456, 45.120000, 43.730781
45.961504, 45.120000, 43.727985
45.945545, 45.120000, 43.724687
46.431347, 45.060000, 43.720933
46.773778, 45.060000, 43.716787
46.996569, 45.060000, 43.712318
47.121545, 45.060000, 43.707601
47.168783, 45.060000, 43.702703
47.156022, 45.060000, 43.697688
47.611711, 45.000000, 43.692615
47.903626, 45.000000, 43.687532
48.663586, 44.930000, 43.682473
49.167250, 44.930000, 43.677451
49.464548, 44.930000, 43.672462
49.598502, 44.930000, 43.667490
50.123021, 44.870000, 43.663023
49.917766, 44.930000, 43.659503
50.193890, 44.870000, 43.656887
49.813210, 44.930000, 43.654963
49.970174, 44.870000, 43.653482
50.025278, 44.870000, 43.652219
50.006963, 44.870000, 43.651498
49.428505, 44.930000, 43.651647
49.473584, 44.870000, 43.653145
49.497114, 44.870000, 43.656289
49.516591, 44.870000, 43.660797
49.028385, 44.930000, 43.666218
48.685616, 44.930000, 43.672624
48.468082, 44.930000, 43.679603
48.355248, 44.930000, 43.686905
47.726778, 45.000000, 43.694128
47.315690, 45.000000, 43.701141
47.081831, 45.000000, 43.708194
46.989615, 45.000000, 43.715244
47.002787, 45.000000, 43.721654
47.090348, 45.000000, 43.727358
47.230337, 45.000000, 43.732779
47.406043, 45.000000, 43.738083
47.086770, 45.060000, 43.742827
47.413378, 45.000000, 43.746587
47.192317, 45.060000, 43.749422
47.063885, 45.060000, 43.751564
47.000350, 45.060000, 43.752676
46.976047, 45.060000, 43.752449
46.972362, 45.060000, 43.751099
46.464911, 45.120000, 43.749002
46.605836, 45.060000, 43.746536
46.725734, 45.060000, 43.744019
46.314607, 45.120000, 43.741698
46.535303, 45.060000, 43.739752
46.207651, 45.120000, 43.737788
45.980888, 45.120000, 43.735910
45.836746, 45.120000, 43.734101
45.756243, 45.120000, 43.732032
46.236103, 45.060000, 43.729700
46.105024, 45.120000, 43.727192
46.020775, 45.120000, 43.724597
46.481869, 45.060000, 43.721465
46.831892, 45.060000, 43.717874
47.088426, 45.060000, 43.714330
47.264176, 45.060000, 43.710502
47.371800, 45.060000, 43.706481
47.422231, 45.060000, 43.702235
47.935548, 45.000000, 43.697438
